dia_semana,ano,data,adversario,publico_pagante,publico_presente,renda_bruta,estadio,campeonato,placar,horario
"quarta-feira,",2017,15 de março,Murici,6.937,9.106,"R$ 106.677,00",Mineirão,Jogo de volta - 3ª fase da Copa do Brasil 2017,3 × 0,às 21:45
"domingo,",2017,19 de março,Tombense,8.115,10.971,"R$ 143.806,00",Mineirão,8ª rodada do Campeonato Mineiro 2017,1 × 1,às 16:00
"terça-feira,",2017,21 de março,Cruzeiro,2.238,Não disponível,"R$ 20.100,00",Arena Joinville,3ª rodada - 1ª fase da Copa Primeira Liga 2017,0 × 0,às 19:00
"segunda-feira,",2017,27 de março,Cruzeiro,14.008,Não disponível,"R$ 373.925,00",Parque do Sabiá,9ª rodada do Campeonato Mineiro 2017,2 × 2,às 20:00
"sábado,",2017,1 de abril,Atlético-MG,34.538,40.397,"R$ 1.000.426,00",Mineirão,10ª rodada do Campeonato Mineiro 2017,2 × 1,às 16:00
"terça-feira,",2017,4 de abril,Nacional-PAR,13.747,16.784,"R$ 247.108,00",Mineirão,Jogo de ida - 1ª fase da Copa Sul-Americana 2017,2 × 1,às 21:45
"domingo,",2017,9 de abril,Democrata-GV,13.327,16.864,"R$ 289.876,00",Mineirão,11ª rodada do Campeonato Mineiro 2017,2 × 0,às 16:00
"quinta-feira,",2017,13 de abril,Cruzeiro,43.662,Não disponível,"R$ 1.065.916,00",Morumbi,Jogo de ida - 4ª fase da Copa do Brasil 2017,0 × 2,às 21:30
"domingo,",2017,16 de abril,Cruzeiro,4.429,Não disponível,"R$ 76.955,00",Independência,Jogo de ida - Semi-Final do Campeonato Mineiro 2017,1 × 1,às 16:00
"quarta-feira,",2017,19 de abril,São Paulo,32.300,36.193,"R$ 1.105.377,00",Mineirão,Jogo de volta - 4ª fase da Copa do Brasil 2017,1 × 2,às 19:30
"domingo,",2017,23 de abril,América-MG,17.914,21.569,"R$ 399.218,00",Mineirão,Jogo da volta - Semi-Final do Campeonato Mineiro 2017,2 × 0,às 18:00
"domingo,",2017,30 de abril,Atlético-MG,38.786,40.694,"R$ 1.620.951,00",Mineirão,Jogo de ida - Final do Campeonato Mineiro 2017,0 × 0,às 16:00
"quarta-feira,",2017,3 de maio,Chapecoense,8.405 (6.403 sócios),11.716,"R$ 203.069,00",Mineirão,Jogo de ida - Oitavas-de-final da Copa do Brasil 2017,1 × 0,às 21:45
"domingo,",2017,7 de maio,Cruzeiro,22.411,Não disponível,"R$ 1.602.000,00",Independência,Jogo de volta - Final do Campeonato Mineiro 2017,2 × 1,às 16:00
"quarta-feira,",2017,10 de maio,Cruzeiro,Não disponível,Não disponível,Não informado,Defensores del Chaco,Jogo da volta - 1ª fase da Copa Sul-Americana 2017,2 × 1,às 19:15
"domingo,",2017,14 de maio,São Paulo,6.475 (4.038 sócios),11.416,"R$ 125.549,00",Mineirão,1ª rodada do Campeonato Brasileiro 2017,1 × 0,às 16:00
"domingo,",2017,21 de maio,Cruzeiro,4.459,Não disponível,"R$ 106.259,00",Ilha do Retiro,2ª rodada do Campeonato Brasileiro 2017,1 × 1,às 19:00
"domingo,",2017,28 de maio,Cruzeiro,7.025,Não disponível,"R$ 198.775,00",Vila Belmiro,3ª rodada do Campeonato Brasileiro 2017,0 × 1,às 16:00
"quinta-feira,",2017,1 de junho,Cruzeiro,6.387,6.824,"R$ 132.410,00",Arena Condá,Jogo da volta - Oitavas de final da Copa do Brasil 2017,0 × 0,às 21:30
"domingo,",2017,4 de junho,Chapecoense,13.332 (8.076 sócios),16.591,"R$ 249.954,00",Mineirão,4ª rodada do Campeonato Brasileiro 2017,0 × 2,às 19:00
"quinta-feira,",2017,8 de junho,Cruzeiro,18.917,Não disponível,"R$ 435.380,50",Fonte Nova,5ª rodada do Campeonato Brasileiro 2017,1 × 0,às 21:00
"domingo,",2017,11 de junho,Atlético-GO,7.194 (4.461 sócios),9.902,"R$ 110.781,00",Mineirão,6ª rodada do Campeonato Brasileiro 2017,2 × 0,às 18:30
"quarta-feira,",2017,14 de junho,Cruzeiro,30.465,Não disponível,"R$ 1.462.205,40",Arena Corinthians,7ª rodada do Campeonato Brasileiro 2017,1 × 0,às 21:45
"segunda-feira,",2017,19 de junho,Grêmio,17.266 (9.739 sócios),20.384,"R$ 375.211,00",Mineirão,8ª rodada do Campeonato Brasileiro 2017,3 × 3,às 20:00
"quinta-feira,",2017,22 de junho,Cruzeiro,4.455,4.707,"R$ 114.475,00",Moisés Lucarelli,9ª rodada do Campeonato Brasileiro 2017,1 × 0,às 19:30
"domingo,",2017,25 de junho,Coritiba,11.658 (6.755 sócios),14.190,"R$ 213.928,00",Mineirão,10ª rodada do Campeonato Brasileiro 2017,2 × 0,às 16:00
"quarta-feira,",2017,28 de junho,Cruzeiro,32.067,Não disponível,"R$ 1.996.243,00",Allianz Parque,Jogo de ida - Quartas de Final da Copa do Brasil 2017,3 × 3,às 21:45
"domingo,",2017,2 de julho,Cruzeiro,17.251,Não disponível,"R$ 569.140,00",Independência,11ª rodada do Campeonato Brasileiro 2017,3 × 1,às 16:00
"domingo,",2017,9 de julho,Palmeiras,15.033 (14.845 sócios),19.090,"R$ 387.378,00",Mineirão,12ª rodada do Campeonato Brasileiro 2017,3 × 1,às 16:00
"quarta-feira,",2017,12 de julho,Cruzeiro,13.897,15.984,"R$ 212.070,00",Arena da Baixada,13ª rodada do Campeonato Brasileiro 2017,0 × 2,às 21:45
"domingo,",2017,16 de julho,Flamengo,39.749 (38.926 sócios),43.480,"R$ 1.349.516,00",Mineirão,14ª rodada do Campeonato Brasileiro 2017,1 × 1,às 16:00
"quinta-feira,",2017,20 de julho,Cruzeiro,5.753,Não disponível,"R$ 115.000,00",Giulite Coutinho,15ª rodada do Campeonato Brasileiro 2017,1 × 1,às 19:30
"domingo,",2017,23 de julho,Cruzeiro,6.590,Não disponível,"R$ 154.475,00",Ressacada,16ª rodada do Campeonato Brasileiro 2017,1 × 0,às 16:00
"quarta-feira,",2017,26 de julho,Palmeiras,41.660 (40.340 sócios),44.842,"R$ 1.277.729,00",Mineirão,Jogo de volta - Semi-Final da Copa do Brasil 2017,1 × 1,às 21:45
"domingo,",2017,30 de julho,Vitória,9.935,12.471,"R$ 174.802,00",Mineirão,17ª rodada do Campeonato Brasileiro 2017,0 × 0,às 19:00
"quinta-feira,",2017,3 de agosto,Cruzeiro,4.934,5.780,"R$ 108.780,00",Raulino de Oliveira,18ª rodada do Campeonato Mineiro 2017,0 × 3,às 20:00
"domingo,",2017,6 de agosto,Botafogo,18.780,22.691,"R$ 457.410,00",Mineirão,19ª rodada do Campeonato Brasileiro 2017,0 × 0,às 16:00
"domingo,",2017,13 de agosto,Cruzeiro,56.052,Não disponível,"R$ 1.623.971,00",Morumbi,20ª rodada do Campeonato Brasileiro 2017,3 × 2,às 11:00
"quarta-feira,",2017,16 de agosto,Cruzeiro,41.711,45.102,"R$ 1.758.042,00",Arena Grêmio,Jogo de ida - Semi-Final da Copa do Brasil 2017,1 × 0,às 21:45
"domingo,",2017,20 de agosto,Sport,7.765,10.393,"R$ 132.119,00",Mineirão,21ª rodada do Campeonato Brasileiro 2017,2 × 0,às 16:00
"quarta-feira,",2017,23 de agosto,Grêmio,50.243,55.227,"R$ 1.730.781,00",Mineirão,Jogo de volta - Semi-Final da Copa do Brasil 2017,1 × 0,às 21:45
"domingo,",2017,27 de agosto,Santos,11.028,12.055,"R$ 171.127,00",Mineirão,22ª rodada do Campeonato Brasileiro 2017,1 × 1,às 19:00
"quarta-feira,",2017,30 de agosto,Grêmio,5.680,7.545,"R$ 69.343,00",Mineirão,Quartas de final - Jogo único da Copa Primeira Liga 2017,2 × 0,às 21:45
"domingo,",2017,3 de setembro,Cruzeiro,15.420,17.061,"R$ 150.183,00",Estádio do Café,Jogo único - Semi-Final da Copa Primeira Liga 2017,2 × 2,às 11:00
"quinta-feira,",2017,7 de setembro,Cruzeiro,56.135,66.165,"R$ 7.039.230,00",Maracanã,Jogo de ida - Final da Copa do Brasil 2017,1 × 1,às 21:45
"domingo,",2017,10 de setembro,Cruzeiro,9.676,Não disponível,"R$ 195.950,00",Arena Condá,23ª rodada do Campeonato Brasileiro 2017,1 × 2,às 19:00
"domingo,",2017,17 de setembro,Bahia,11.730,14.384,"R$ 217.609,00",Mineirão,24ª rodada do Campeonato Brasileiro 2017,1 × 0,às 19:00
"domingo,",2017,24 de setembro,Cruzeiro,6.447,Não disponível,"R$ 109.630,00",Pedro Ludovico,25ª rodada do Campeonato Brasileiro 2017,1 × 2,às 16:00
"quarta-feira,",2017,27 de setembro,Flamengo,56.443 (35.776 sócios),61.017,"R$ 7.897.058,00",Mineirão,Jogo de volta - Final da Copa do Brasil 2017,0 × 0,às 21:45
"domingo,",2017,1 de outubro,Corinthians,26.610,29.556,"R$ 753.704,00",Mineirão,26ª rodada do Campeonato Brasileiro 2017,1 × 1,às 16:00
"sábado,",2017,7 de outubro,Ponte Preta,13.147,15.397,"R$ 257.798,00",Mineirão,28ª rodada do Campeonato Brasileiro 2017,2 × 1,às 16:00
"quarta-feira,",2017,11 de outubro,Cruzeiro,7.851,Não disponível,"R$ 234.055,00",Arena Grêmio,27ª rodada do Campeonato Brasileiro 2017,0 × 1,às 21:45
"quarta-feira,",2017,18 de outubro,Cruzeiro,6.470,7.056,"R$ 110.235,00",Couto Pereira,29º rodada do Campeonato Brasileiro 2017,1 × 0,às 19:30
"domingo,",2017,22 de outubro,Atlético-MG,32.989 (23.524 sócios),35.921,"R$ 1.128.811,00",Mineirão,30ª rodada do Campeonato Brasileiro 2017,1 × 3,às 17:00
"segunda-feira,",2017,30 de outubro,Cruzeiro,37.961,Não disponível,"R$ 2.832.058,24",Allianz Parque,31ª rodada do Campeonato Brasileiro 2017,2 × 2,às 20:00
"domingo,",2017,5 de novembro,Atlético-PR,8.157,10.845,"R$ 144.047,00",Mineirão,32ª rodada do Campeonato Brasileiro 2017,1 × 0,às 17:00
